Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/-439,800,410,202,924,1137,1749,42,4109,42.500%,4.84490,14.90,1.90
/static/css/chunk-libs.e8bed112.css-441,400,708,322,1415,2335,5447,152,13957,0.000%,25.72016,1491.90,10.12
/static/css/app.6021bb2a.css-442,400,2139,1455,3320,5250,14489,226,17751,0.000%,21.59711,5501.17,8.35
/static/js/chunk-elementUI.5bbc628b.js-443,401,4286,3259,7241,14983,18464,43,21001,0.499%,2.65384,1489.93,1.01
/static/js/app.7b86bc0c.js-445,400,4306,3298,9424,12971,15792,818,17182,0.000%,16.64724,9550.40,6.16
/static/js/chunk-libs.42577cdb.js-444,400,2652,2128,3956,9306,13553,360,16638,0.000%,17.26967,7729.25,6.51
/success.txt-440,800,434,423,438,448,768,410,1423,0.000%,4.96814,1.86,1.64
/static/css/chunk-commons.7d47341d.css-446,400,497,209,1255,2103,4155,43,9738,0.000%,18.36800,130.15,7.28
/static/js/chunk-commons.2bd1bc53.js-447,400,325,194,609,1010,2115,87,4641,0.000%,18.45274,838.25,7.01
/static/js/chunk-bae7.9cf68009.js-448,400,268,197,414,602,1999,49,3139,0.000%,18.56407,892.13,7.00
/static/css/chunk-bae7.e20006d7.css-449,400,234,153,386,574,1512,47,5009,0.000%,18.61244,783.45,2.93
/static/js/chunk-02f6.cbcac1bb.js-450,400,237,187,463,595,717,63,2380,0.000%,18.94208,993.29,7.14
/static/css/chunk-02f6.11a84f1f.css-451,400,83,50,182,220,578,42,1627,0.000%,19.06941,46.09,7.50
/static/css/chunk-7a9b.b384c603.css-452,400,253,192,428,609,1152,88,2078,0.000%,19.03583,1086.88,7.49
/static/js/chunk-7a9b.959988e2.js-453,400,430,326,731,951,2094,97,3379,0.000%,19.38830,2148.26,7.31
/static/img/logo.3f60e11.png-455,400,243,93,389,661,2566,44,6691,0.000%,19.82161,417.43,7.59
/static/img/logo2.0bc0465.svg-456,400,183,133,321,487,1219,44,3183,0.000%,19.87578,694.51,7.63
/cms/api/parent/page/plugin/custom-457,454,7199,6257,16955,17396,17548,42,17632,23.568%,2.87606,31.53,1.60
/api/admin/user/me-454,800,6019,1261,17329,18199,23653,41,28435,42.500%,5.08945,9.58,2.50
/static/img/panda.36c9329.jpg-458,400,229,232,252,291,568,44,1408,0.000%,6.40246,91.81,2.46
/static/img/user_card_bg_square.418a76d.png-459,400,98,91,111,175,444,45,1470,0.000%,6.40174,173.52,2.76
/static/img/inner_banner_01v2.83b1fa7.png-460,400,263,218,401,527,1039,88,1992,0.000%,6.40584,687.31,2.53
/static/img/inner_banner_02.a077bec.png-461,400,363,266,573,861,1943,89,7010,0.000%,6.43791,1058.84,2.53
/static/img/inner_banner_04.2a31099.png-462,400,396,305,679,955,1653,133,4843,0.000%,6.60360,1547.34,2.60
/static/img/inner_banner_03v2.1998e38.png-463,400,289,216,555,725,1600,90,4245,0.000%,6.74434,1203.92,2.67
/api/payment/account/current-account-list-465,800,3873,3559,9502,10050,10650,41,10999,42.750%,5.24363,5.86,2.56
/api/admin/user/me-469,800,9783,4708,26713,28578,29986,41,31093,44.000%,5.25966,9.68,2.44
/api/common/tradegroup-468,800,5947,4845,14803,15920,17310,41,18256,45.250%,5.26274,5.34,2.47
/api/notification/client/message-center/search-467,800,5271,4961,11619,12844,15590,41,16656,46.250%,5.26777,2.67,3.10
/api/notification/client/message-center/un-read-amount-466,800,5653,4767,13794,14386,15158,41,16037,47.500%,5.27311,1.80,2.64
/cms/api/parent/page/plugin/custom-472,400,1321,426,3007,3469,15016,245,17299,0.000%,3.41661,2.41,1.80
/static/img/inner_banner_05.d18170c.png-474,400,444,321,868,1009,1271,260,1729,0.000%,3.43929,1305.72,1.35
/static/img/inner_banner_06.8328914.png-475,400,215,146,409,505,656,89,940,0.000%,3.46455,943.04,1.36
/cms/api/parent/page/plugin/custom-473,401,1042,274,2985,3147,7364,44,14856,0.249%,3.15398,5.74,1.67
/static/img/inner_banner_07.e3fe39e.png-476,400,634,548,1119,1401,1855,225,2258,0.000%,3.59467,2981.66,1.41
/static/img/inner_banner_08.2805da2.png-477,400,112,52,287,315,432,44,1008,0.000%,3.61131,221.40,1.42
/cms/media/filer_public/47/13/4713e115-fa36-49cc-9f5f-d7713ac81bb7/inner_banner_03.png-478,400,786,223,2606,3070,3614,49,17345,0.000%,3.60153,649.48,1.58
/cms/media/filer_public/98/d6/98d643ef-4041-42fd-8ccd-66355d15363a/inner_banner_08.png-479,400,483,113,1758,2670,3281,45,3435,0.000%,4.26171,261.09,1.87
/api/product/recommend/route-464,800,6117,7245,14375,15279,20883,41,22000,48.750%,6.52023,6.45,3.09
/api/notification/client/message-center/search-470,800,3904,180,12003,13867,15175,41,16464,58.000%,7.01933,7.11,4.29
/api/product/client/backlog/todo-471,800,14353,44,45099,58145,67700,41,93526,64.500%,7.74736,8.06,3.71
TOTAL,20856,2977,266,10681,14952,29681,41,93526,19.016%,125.64688,11735.34,54.54
