"Status","Name","Duration in ms","Description"
"broken","T02adminBindProductsRejectDelete_test.TestCaseT02Adminbindproductsrejectdelete#test_start","9186","TestCase ID: c89f6564-3c58-4315-b5c6-407a0eeadf34"
"passed","T02adminBindProducts_test.TestCaseT02Adminbindproducts#test_start","6952","TestCase ID: ea2657f3-c9d8-44c6-8a40-921648ab9eee"
